id;host_id;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
664932;1446354;Margherita;San Lorenzo;4.085.207;1.426.617;Hotel room;$137,00;1;3;22/12/2021;0.03;7;44;0
665045;3360063;Claudio Boca;Porto;4.084.738;1.425.616;Entire home/apt;$89,00;1;475;30/08/2023;3.98;2;338;53
665854;2573554;Luca;Chiaia;4.083.473;1.423.365;Entire home/apt;$74,00;3;3;15/03/2013;0.02;1;304;0
672217;3408327;Paola;San Giuseppe;408.489;1.425.514;Entire home/apt;$90,00;2;273;3/11/2019;2.04;1;0;0
678258;1446354;Margherita;San Lorenzo;4.085.207;1.426.617;Hotel room;$217,00;1;5;26/12/2018;0.04;7;10;0
678798;3454889;Valerio Maria;San Giuseppe;4.084.571.838.378.900;14.251.338.005.065.900;Entire home/apt;$80,00;2;216;27/08/2023;1.68;1;333;35
680987;468128;Massimiliano;San Ferdinando;4.083.668;1.424.786;Entire home/apt;$500,00;3;0;;;1;365;0
691798;3536694;Dario;Chiaia;4.083.591;1.424.386;Entire home/apt;$38,00;2;10;3/03/2020;0.14;1;0;0
697484;3573544;Marcella;San Carlo all'Arena;408.592;1.425.369;Entire home/apt;$55,00;3;137;4/10/2020;1.03;1;287;0
698809;3582074;Federica;San Ferdinando;4.083.747;1.424.834;Private room;$55,00;1;480;11/07/2023;3.6;1;156;55
702052;3603593;Nico;Avvocata;4.085.591;1.424.086;Entire home/apt;$95,00;3;116;31/07/2023;0.87;1;327;17
706257;3629429;Enjoy;Avvocata;4.085.103;1.424.945;Entire home/apt;$110,00;1;12;9/05/2022;0.09;2;350;0
706258;3629429;Enjoy;San Lorenzo;4.085.273;1.425.056;Private room;$119,00;1;8;12/09/2019;0.08;2;348;0
709020;3647842;Livio & Chiara;Avvocata;4.085.491;1.424.758;Entire home/apt;$354,00;2;13;1/11/2022;0.1;12;216;1
709069;3647842;Livio & Chiara;San Ferdinando;4.083.926;1.425.372;Private room;$354,00;2;69;31/07/2022;0.6;12;358;0
714333;808350;Giancarlo;Porto;408.402;1.425.516;Entire home/apt;$135,00;1;59;31/07/2023;0.44;6;332;1
715014;2473289;Lucia;Porto;4.084.322;142.567;Entire home/apt;$55,00;1;11;27/04/2019;0.1;1;326;0
718976;1446354;Margherita;San Lorenzo;4.085.207;1.426.617;Hotel room;$291,00;1;1;1/11/2021;0.04;7;38;0
730284;3797563;Federica;Chiaia;4.083.434;1.422.064;Private room;$75,00;1;110;11/08/2023;0.87;3;8;11
730290;3797563;Federica;Chiaia;4.083.605;1.422.348;Private room;$90,00;1;122;9/09/2023;1.21;3;13;16
732137;3508548;Marechiarocasa;Chiaia;4.083.421;1.423.063;Entire home/apt;$85,00;3;14;8/09/2022;0.11;6;165;0
732160;3508548;Marechiarocasa;Chiaia;4.083.457;1.423.064;Entire home/apt;$100,00;2;7;2/01/2022;0.06;6;345;0
738719;3828444;Paola & Maria;Posillipo;4.079.768;1.418.876;Entire home/apt;$70,00;2;42;1/08/2022;0.33;2;316;0
746731;3918668;Ravagnoni;San Giuseppe;4.084.895;1.425.286;Private room;$44,00;2;545;7/06/2023;4.15;2;35;33
751549;3508548;Marechiarocasa;Chiaia;4.083.589;1.423.095;Entire home/apt;$85,00;2;5;18/06/2023;0.05;6;284;1
757502;3989250;Rosario;Vomero;4.084.260.940.551.750;14.236.015.319.824.200;Entire home/apt;$167,00;3;5;6/06/2023;0.04;1;232;2
758175;1259429;Caterina;Porto;4.084.145;142.524;Hotel room;$108,00;1;14;1/01/2020;0.11;4;303;0
770035;3508548;Marechiarocasa;Chiaia;4.083.559;1.423.231;Entire home/apt;$100,00;2;11;28/07/2023;0.1;6;317;1
780382;1259429;Caterina;San Ferdinando;4.084.038;1.425.168;Hotel room;$125,00;1;75;16/10/2021;0.58;4;165;0
780387;1259429;Caterina;Porto;4.084.145;142.524;Hotel room;$123,00;1;32;23/09/2021;0.26;4;327;0
786563;4146812;Claudia;Avvocata;4.084.954;1.424.091;Private room;$30,00;1;59;14/07/2023;0.47;2;321;1
787925;3146165;Diana;Stella;408.555;1.425.505;Private room;$137,00;4;9;22/10/2022;0.07;6;350;1
789636;4161003;Maria Rosaria;San Ferdinando;4.083.674;1.424.751;Entire home/apt;$170,00;3;197;31/07/2023;1.55;1;308;26
806375;1031133;Elisabetta;San Giuseppe;4.084.602;1.425.114;Entire home/apt;$87,00;1;459;20/08/2023;3.6;4;294;12
821853;4315353;Francesco;Arenella;4.085.014;1.423.425;Entire home/apt;$75,00;3;96;1/09/2023;0.76;1;294;14
832048;4347916;Claudia;San Giuseppe;4.084.745;1.425.393;Entire home/apt;$180,00;3;22;28/09/2022;0.18;1;80;2
836923;4373872;Mario;San Ferdinando;4.083.752;1.424.532;Entire home/apt;$65,00;2;254;4/08/2023;1.95;1;328;17
845316;3440213;Maria Rosaria;Avvocata;4.085.303;142.361;Entire home/apt;$60,00;5;43;14/06/2023;0.34;1;91;3
846566;4420516;Fabio;San Ferdinando;40.839.676;14.249.595;Entire home/apt;$128,00;1;451;8/08/2023;3.56;3;316;70
877667;4625183;Alessandra;San Lorenzo;4.085.155;1.425.758;Entire home/apt;$254,00;2;125;9/09/2023;0.98;4;322;38
877913;4639096;Claudia;San Lorenzo;4.085.492;1.426.043;Entire home/apt;$136,00;2;279;10/07/2023;2.18;1;253;11
883467;4625183;Alessandra;San Lorenzo;4.085.068;1.425.647;Private room;$110,00;1;20;3/08/2022;0.16;4;106;0
913954;4420516;Fabio;San Ferdinando;408.389;1.424.843;Entire home/apt;$113,00;1;490;30/08/2023;3.92;3;309;68
927552;4625183;Alessandra;San Lorenzo;4.085.005;1.425.674;Private room;$92,00;1;1;31/07/2022;0.07;4;101;0
934742;2700392;Gabriele;San Ferdinando;4.083.344;142.518;Private room;$159,00;1;3;21/08/2021;0.04;2;29;0
935301;4918472;Emanuela;Pendino;4.085.086;1.425.887;Entire home/apt;$95,00;3;250;30/08/2023;2;1;106;18
936832;5057288;Teresa;Vomero;408.418;1.423.639;Entire home/apt;$120,00;3;24;1/09/2023;0.22;1;335;7
940413;5082697;Ananda;Montecalvario;4.084.677;1.423.944;Private room;$28,00;28;110;30/08/2023;0.87;1;210;8
943811;2298516;Lucio & Clara Pia;San Giuseppe;408.448;142.495;Entire home/apt;$100,00;2;60;27/08/2020;0.48;5;0;0
949126;4625183;Alessandra;San Lorenzo;4.085.131;1.425.751;Entire home/apt;$150,00;2;69;5/09/2023;0.58;4;65;29
960793;1409200;Fabrizia;Posillipo;4.079.388;1.418.623;Entire home/apt;$46,00;2;34;8/09/2023;0.38;4;311;6
971674;3397953;Giovanni;San Lorenzo;408.514;1.425.463;Private room;$83,00;2;81;10/09/2023;0.64;1;345;19
994105;11929605;Alessandra;Avvocata;4.085.096;142.406;Private room;$30,00;7;179;1/07/2023;1.41;1;288;6
1008680;808350;Giancarlo;Porto;408.402;1.425.516;Entire home/apt;$117,00;1;34;2/10/2022;0.27;6;341;1
